"HUDichte";"LU";"LO";"RU";"RM";"RO"
-1024;0;7;0;14;16
-1023;0;12;0;22;32
-1022;1;13;0;11;19
-1021;0;9;0;4;19
-1020;0;15;0;10;33
-1019;2;5;0;11;36
-1018;0;8;0;3;18
-1017;1;3;0;7;32
-1016;3;7;0;6;27
-1015;2;4;0;9;19
-1014;1;10;0;2;17
-1013;1;3;0;4;16
-1012;1;8;0;7;15
-1011;1;9;0;9;14
-1010;0;6;0;7;17
-1009;5;6;0;8;13
-1008;0;4;0;4;17
-1007;2;4;0;7;13
-1006;1;7;0;3;12
-1005;2;4;1;6;10
-1004;1;3;0;6;11
-1003;7;5;0;3;18
-1002;3;4;0;6;17
-1001;1;10;0;6;11
-1000;3;3;0;4;13
-999;5;7;0;7;11
-998;3;5;0;10;26
-997;2;8;0;4;10
-996;4;6;0;4;11
-995;2;8;0;12;11
-994;1;7;1;7;15
-993;4;12;2;6;11
-992;5;9;0;5;9
-991;7;14;4;8;10
-990;8;12;1;4;11
-989;3;9;2;10;18
-988;6;9;0;10;11
-987;5;11;2;6;15
-986;8;6;1;3;8
-985;8;6;0;10;9
-984;5;15;0;8;20
-983;7;16;3;4;14
-982;10;12;2;6;16
-981;4;14;1;8;19
-980;3;13;1;5;14
-979;5;13;5;10;19
-978;5;15;0;8;11
-977;11;20;1;7;20
-976;7;17;2;8;12
-975;8;21;2;4;15
-974;13;14;1;15;18
-973;12;10;2;5;16
-972;9;12;3;4;14
-971;12;15;0;7;15
-970;8;20;1;10;19
-969;7;16;5;9;15
-968;11;17;1;10;16
-967;12;29;0;5;13
-966;15;26;4;11;16
-965;8;20;2;9;20
-964;17;14;2;4;21
-963;9;16;2;7;21
-962;4;19;2;5;16
-961;6;17;0;6;17
-960;13;15;3;13;17
-959;11;22;3;6;22
-958;11;10;1;8;16
-957;13;23;2;5;17
-956;7;23;4;14;21
-955;15;21;3;9;13
-954;12;14;1;9;26
-953;12;16;6;10;20
-952;16;14;6;16;26
-951;12;29;9;8;19
-950;11;22;4;13;22
-949;8;31;4;9;29
-948;12;19;5;16;18
-947;18;33;6;7;29
-946;16;21;3;15;17
-945;14;22;8;2;24
-944;17;25;4;10;22
-943;22;23;7;10;22
-942;27;32;7;18;22
-941;20;17;10;14;32
-940;18;23;10;13;36
-939;22;36;11;15;26
-938;21;35;10;12;23
-937;23;45;7;23;27
-936;25;29;11;13;33
-935;25;35;8;10;25
-934;28;33;14;12;31
-933;23;42;8;13;22
-932;26;43;13;21;43
-931;26;35;11;18;20
-930;22;35;16;21;38
-929;34;46;7;18;30
-928;38;33;11;16;35
-927;36;43;9;22;33
-926;43;37;19;26;33
-925;32;40;17;27;30
-924;44;52;22;25;31
-923;32;64;19;19;40
-922;45;67;17;22;36
-921;46;57;18;34;40
-920;49;62;23;27;39
-919;46;61;19;34;42
-918;50;57;19;35;43
-917;45;67;27;34;49
-916;59;63;21;36;51
-915;57;68;23;54;61
-914;62;93;42;37;52
-913;57;81;29;36;43
-912;53;77;30;34;66
-911;69;98;31;56;61
-910;50;90;36;46;65
-909;74;92;33;59;78
-908;77;103;46;69;72
-907;71;98;48;67;91
-906;92;108;51;62;86
-905;100;131;68;68;75
-904;85;130;57;71;82
-903;103;131;59;78;103
-902;93;143;55;84;115
-901;123;138;79;86;130
-900;112;161;98;107;113
-899;112;169;82;97;118
-898;137;157;104;132;123
-897;139;185;111;154;128
-896;157;198;104;132;131
-895;173;236;145;152;174
-894;172;219;146;152;193
-893;185;239;150;173;178
-892;186;228;157;182;192
-891;216;250;167;201;196
-890;205;258;185;211;214
